Entity,Code,Year,Annual CO2 emissions including land-use change
Brazil,BRA,1856,46764280
Brazil,BRA,1857,46641948
Brazil,BRA,1858,43965730
Brazil,BRA,1859,33063618
Brazil,BRA,1860,36179200
Brazil,BRA,1861,44131444
Brazil,BRA,1862,45929000
Brazil,BRA,1863,42959948
Brazil,BRA,1864,45467276
Brazil,BRA,1865,35203696
Brazil,BRA,1866,52809910
Brazil,BRA,1867,41772830
Brazil,BRA,1868,60316510
Brazil,BRA,1869,54310200
Brazil,BRA,1870,37564604
Brazil,BRA,1871,56732336
Brazil,BRA,1872,66389092
Brazil,BRA,1873,61792424
Brazil,BRA,1874,55455890
Brazil,BRA,1875,73199480
Brazil,BRA,1876,49734236
Brazil,BRA,1877,63293788
Brazil,BRA,1878,66634096
Brazil,BRA,1879,58398890
Brazil,BRA,1880,91241680
Brazil,BRA,1881,105394696
Brazil,BRA,1882,116963710
Brazil,BRA,1883,125446070
Brazil,BRA,1884,133872590
Brazil,BRA,1885,125859620
Brazil,BRA,1886,122328630
Brazil,BRA,1887,136951570
Brazil,BRA,1888,126713390
Brazil,BRA,1889,140008000
Brazil,BRA,1890,126463980
Brazil,BRA,1891,158368940
Brazil,BRA,1892,118492800
Brazil,BRA,1893,160427440
Brazil,BRA,1894,117280080
Brazil,BRA,1895,134883230
Brazil,BRA,1896,136271280
Brazil,BRA,1897,139705230
Brazil,BRA,1898,126545176
Brazil,BRA,1899,140765060
Brazil,BRA,1900,169644370
Brazil,BRA,1901,197499580
Brazil,BRA,1902,201411710
Brazil,BRA,1903,189465230
Brazil,BRA,1904,209178540
Brazil,BRA,1905,216449020
Brazil,BRA,1906,214945010
Brazil,BRA,1907,197349620
Brazil,BRA,1908,220153390
Brazil,BRA,1909,223505250
Brazil,BRA,1910,271018750
Brazil,BRA,1911,336551900
Brazil,BRA,1912,333435000
Brazil,BRA,1913,338563650
Brazil,BRA,1914,345526940
Brazil,BRA,1915,346355740
Brazil,BRA,1916,371712420
Brazil,BRA,1917,362266240
Brazil,BRA,1918,363526340
Brazil,BRA,1919,373071900
Brazil,BRA,1920,414999940
Brazil,BRA,1921,409265000
Brazil,BRA,1922,448326300
Brazil,BRA,1923,459798500
Brazil,BRA,1924,452462050
Brazil,BRA,1925,467389980
Brazil,BRA,1926,462817250
Brazil,BRA,1927,499385150
Brazil,BRA,1928,479679780
Brazil,BRA,1929,480453120
Brazil,BRA,1930,329799000
Brazil,BRA,1931,263954880
Brazil,BRA,1932,264845950
Brazil,BRA,1933,245958860
Brazil,BRA,1934,230012590
Brazil,BRA,1935,203690690
Brazil,BRA,1936,207473980
Brazil,BRA,1937,194026670
Brazil,BRA,1938,197957570
Brazil,BRA,1939,186614420
Brazil,BRA,1940,328405540
Brazil,BRA,1941,394396300
Brazil,BRA,1942,426271680
Brazil,BRA,1943,443285400
Brazil,BRA,1944,462042660
Brazil,BRA,1945,472763740
Brazil,BRA,1946,487290180
Brazil,BRA,1947,498596400
Brazil,BRA,1948,502980500
Brazil,BRA,1949,512480060
Brazil,BRA,1950,700217200
Brazil,BRA,1951,784979840
Brazil,BRA,1952,837160900
Brazil,BRA,1953,871440800
Brazil,BRA,1954,911159550
Brazil,BRA,1955,936584700
Brazil,BRA,1956,970413200
Brazil,BRA,1957,992245600
Brazil,BRA,1958,1025308200
Brazil,BRA,1959,1059967000
Brazil,BRA,1960,1121811600
Brazil,BRA,1961,1170127900
Brazil,BRA,1962,1216424400
Brazil,BRA,1963,1239396900
Brazil,BRA,1964,1256805100
Brazil,BRA,1965,1263522000
Brazil,BRA,1966,1291124900
Brazil,BRA,1967,1276983600
Brazil,BRA,1968,1301877900
Brazil,BRA,1969,1299415300
Brazil,BRA,1970,1340307700
Brazil,BRA,1971,1323793000
Brazil,BRA,1972,1362291000
Brazil,BRA,1973,1382465500
Brazil,BRA,1974,1405923800
Brazil,BRA,1975,1441611400
Brazil,BRA,1976,1474536200
Brazil,BRA,1977,1509000000
Brazil,BRA,1978,1562267000
Brazil,BRA,1979,1611293200
Brazil,BRA,1980,1673681200
Brazil,BRA,1981,1657413000
Brazil,BRA,1982,1721006600
Brazil,BRA,1983,1690496600
Brazil,BRA,1984,2113866000
Brazil,BRA,1985,1578538400
Brazil,BRA,1986,1758323800
Brazil,BRA,1987,1731443200
Brazil,BRA,1988,1684833500
Brazil,BRA,1989,1643554800
Brazil,BRA,1990,1684104100
Brazil,BRA,1991,1692107900
Brazil,BRA,1992,1778138400
Brazil,BRA,1993,1698408200
Brazil,BRA,1994,2097899300
Brazil,BRA,1995,2045516500
Brazil,BRA,1996,1979018800
Brazil,BRA,1997,2088945500
Brazil,BRA,1998,2337889300
Brazil,BRA,1999,2379741700
Brazil,BRA,2000,2193675800
Brazil,BRA,2001,2094903600
Brazil,BRA,2002,2242239700
Brazil,BRA,2003,3149881900
Brazil,BRA,2004,2560971300
Brazil,BRA,2005,2279558400
Brazil,BRA,2006,2091557400
Brazil,BRA,2007,1906509300
Brazil,BRA,2008,1759048400
Brazil,BRA,2009,1519997400
Brazil,BRA,2010,1443258500
Brazil,BRA,2011,1462667100
Brazil,BRA,2012,1647961300
Brazil,BRA,2013,1744983000
Brazil,BRA,2014,1789291800
Brazil,BRA,2015,1778048000
Brazil,BRA,2016,1642292600
Brazil,BRA,2017,1522140300
Brazil,BRA,2018,1537754600
Brazil,BRA,2019,1593299700
Brazil,BRA,2020,1684446500
Brazil,BRA,2021,1979591700
Brazil,BRA,2022,1811551500
Brazil,BRA,2023,1788815900
China,CHN,1907,213861950
China,CHN,1908,221133920
China,CHN,1909,222517570
China,CHN,1910,253871060
China,CHN,1911,272104100
China,CHN,1912,271350800
China,CHN,1913,296113900
China,CHN,1914,314574720
China,CHN,1915,314099360
China,CHN,1916,321291200
China,CHN,1917,335282600
China,CHN,1918,347508900
China,CHN,1919,341728900
China,CHN,1920,315946600
China,CHN,1921,315457470
China,CHN,1922,310121150
China,CHN,1923,323991140
China,CHN,1924,314710460
China,CHN,1925,319435140
China,CHN,1926,324063680
China,CHN,1927,323839580
China,CHN,1928,332634900
China,CHN,1929,335199170
China,CHN,1930,400736420
China,CHN,1931,428063500
China,CHN,1932,450739550
China,CHN,1933,473781470
China,CHN,1934,500863870
China,CHN,1935,519147400
China,CHN,1936,531014460
China,CHN,1937,546874500
China,CHN,1938,537657540
China,CHN,1939,566535100
China,CHN,1940,648122050
China,CHN,1941,697249000
China,CHN,1942,736406500
China,CHN,1943,741150660
China,CHN,1944,751335940
China,CHN,1945,718990200
China,CHN,1946,722305100
China,CHN,1947,730651300
China,CHN,1948,732054140
China,CHN,1949,777110600
China,CHN,1950,1098664700
China,CHN,1951,1404695900
China,CHN,1952,1079297900
China,CHN,1953,1005682300
China,CHN,1954,1307722500
China,CHN,1955,1273606800
China,CHN,1956,1123306600
China,CHN,1957,1116588500
China,CHN,1958,1095966100
