Entity,Code,Year,Annual CO2 emissions (per capita)
Brazil,BRA,1856,0.028650621
Brazil,BRA,1857,0.03341477
Brazil,BRA,1858,0.03480425
Brazil,BRA,1859,0.044897646
Brazil,BRA,1860,0.05159468
Brazil,BRA,1861,0.047911853
Brazil,BRA,1862,0.04088697
Brazil,BRA,1863,0.04827255
Brazil,BRA,1864,0.05352549
Brazil,BRA,1865,0.0628613
Brazil,BRA,1866,0.06993306
Brazil,BRA,1867,0.05913751
Brazil,BRA,1868,0.079007916
Brazil,BRA,1869,0.06252123
Brazil,BRA,1870,0.07095229
Brazil,BRA,1871,0.08436733
Brazil,BRA,1872,0.0842056
Brazil,BRA,1873,0.099078625
Brazil,BRA,1874,0.094129875
Brazil,BRA,1875,0.08717049
Brazil,BRA,1876,0.07675679
Brazil,BRA,1877,0.078498445
Brazil,BRA,1878,0.08327771
Brazil,BRA,1879,0.06956303
Brazil,BRA,1880,0.07802751
Brazil,BRA,1881,0.08551095
Brazil,BRA,1882,0.077181265
Brazil,BRA,1883,0.09350129
Brazil,BRA,1884,0.10058415
Brazil,BRA,1885,0.09355589
Brazil,BRA,1886,0.09338007
Brazil,BRA,1887,0.09755127
Brazil,BRA,1888,0.09339209
Brazil,BRA,1889,0.132758
Brazil,BRA,1890,0.11976609
Brazil,BRA,1891,0.14170356
Brazil,BRA,1892,0.14343461
Brazil,BRA,1893,0.12858164
Brazil,BRA,1894,0.1471538
Brazil,BRA,1895,0.13622174
Brazil,BRA,1896,0.15901579
Brazil,BRA,1897,0.16233563
Brazil,BRA,1898,0.15545407
Brazil,BRA,1899,0.14801672
Brazil,BRA,1900,0.12582514
Brazil,BRA,1901,0.1253755
Brazil,BRA,1902,0.13537896
Brazil,BRA,1903,0.12670867
Brazil,BRA,1904,0.13405348
Brazil,BRA,1905,0.14279857
Brazil,BRA,1906,0.1581205
Brazil,BRA,1907,0.17738257
Brazil,BRA,1908,0.17401078
Brazil,BRA,1909,0.17475581
Brazil,BRA,1910,0.20503342
Brazil,BRA,1911,0.23573512
Brazil,BRA,1912,0.2348308
Brazil,BRA,1913,0.25635076
Brazil,BRA,1914,0.19143723
Brazil,BRA,1915,0.12924525
Brazil,BRA,1916,0.10776666
Brazil,BRA,1917,0.10957019
Brazil,BRA,1918,0.10036321
Brazil,BRA,1919,0.10981024
Brazil,BRA,1920,0.14365888
Brazil,BRA,1921,0.10248378
Brazil,BRA,1922,0.14007734
Brazil,BRA,1923,0.16337565
Brazil,BRA,1924,0.17767125
Brazil,BRA,1925,0.17483838
Brazil,BRA,1926,0.1754328
Brazil,BRA,1927,0.18979949
Brazil,BRA,1928,0.18735394
Brazil,BRA,1929,0.1912597
Brazil,BRA,1930,0.17116176
Brazil,BRA,1931,0.13831244
Brazil,BRA,1932,0.13575594
Brazil,BRA,1933,0.14408183
Brazil,BRA,1934,0.1406607
